;Total;C#;C++;Go;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript
No;59;62;56;66;58;51;65;55;55;60;60
Rust;10;10;13;17;9;12;10;9;13;8;13
Go;9;8;8;0;11;12;8;12;10;10;11
Kotlin;6;5;5;4;9;8;0;6;6;6;6
TypeScript;6;6;5;4;6;11;6;8;7;6;0
Python;5;5;5;2;6;7;4;9;0;7;5
C#;4;0;5;2;4;5;2;5;5;3;4
C++;4;4;0;2;4;4;3;3;5;4;3
Swift;4;4;4;3;4;6;6;5;5;3;5
Java;3;3;5;2;0;4;1;4;4;3;3
JavaScript;3;2;5;1;3;0;4;2;4;3;0
Dart;3;3;3;2;3;4;5;4;3;2;4
GraphQL;2;2;2;2;3;4;2;3;2;3;3
SQL;2;1;3;1;2;3;2;1;3;0;1
Shell Scripting Languages;1;1;1;0;2;2;1;1;2;2;1
Other;14;14;19;10;14;14;12;11;19;14;12
