;Market Capitalization;Cambio;Fecha
Amazon;USD 1.96T;54.36B;2024-09
Angie's List;USD 1.29B;324M;2024-09
Booking Holdings;USD 141.21B;6.81B;2024-09
Brunswick;USD 5.55B;631M;2024-09
Cinemark;USD 3.41B;757M;2024-09
Criteo;USD 2.25B;113M;2024-09
eBay;USD 31.84B;4.87B;2024-09
Expedia;USD 19.27B;2.58B;2024-09
Harley Davidson;USD 5.07B;561M;2024-09
Hasbro;USD 10.08B;1.94B;2024-09
Lyft;USD 5.23B;460M;2024-09
Match;USD 9.76B;1.69B;2024-09
Mattel;USD 6.48B;885M;2024-09
Meta;USD 1.45T;168.17B;2024-09
Microsoft;USD 3.2T;120.96B;2024-09
Netflix;USD 304.39B;13.58B;2024-09
Snap;USD 17.89B;9.37B;2024-09
Sony;JPY 17.34T;690.2B;2024-09
Sony;USD 103.58B;1.45B;2024-09
Take Two Interactive Software;USD 26.94B;267M;2024-09
TripAdvisor;USD 2.01B;471M;2024-09
Uber;USD 157.91B;6.04B;2024-09
Walt Disney;USD 174.45B;6.56B;2024-09
Warner Bros Discovery;USD 20.23B;2B;2024-09
Yelp;USD 2.35B;143M;2024-09
